"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status","timepoint"
"105",92,0.33108919863548,"Respiration",66,"1","H",20230607,647.3379414,10.858434,"20230607_g3_92_O2","wounded","0"
"106",94,0.356128466667247,"Respiration",66,"2","H",20230607,646.2539235,13.2131985,"20230607_g3_94_O2","wounded","0"
"107",97,0.353451828991722,"Respiration",66,"0","H",20230607,646.3005987,22.4110435,"20230607_g3_97_O2","no wound","0"
"108",99,0.335729091035123,"Respiration",66,"0","H",20230607,647.0211796,16.5598105,"20230607_g3_99_O2","no wound","0"
"109",102,0.0915769001529529,"Net Photosythesis",66,"2","A",20230605,647.4457621,10.2779265,"20230605_g1_102_O2","wounded","0"
"110",103,0.137068343144373,"Net Photosythesis",66,"0","A",20230605,646.9302905,13.2066045,"20230605_g1_103_O2","no wound","0"
"112",105,0.110726000343965,"Net Photosythesis",66,"1","A",20230605,646.0942912,25.0701525,"20230605_g1_105_O2","wounded","0"
"113",18,0.123514387222342,"Net Photosythesis",68,"0","H",20230605,646.8519976,14.7492865,"20230605_g1_18_O2","no wound","0"
"114",2,0.335564730382158,"Net Photosythesis",68,"1","H",20230605,645.8010872,28.3475275,"20230605_g1_2_O2","wounded","0"
"115",21,0.0590406211312084,"Net Photosythesis",70,"0","A",20230605,647.4074038,10.917466,"20230605_g1_21_O2","no wound","0"
"116",23,0.0336285171463744,"Net Photosythesis",70,"1","H",20230605,647.4625766,9.88459126,"20230605_g1_23_O2","wounded","0"
"117",25,0.066631200441961,"Net Photosythesis",70,"2","A",20230605,646.7978758,12.285564,"20230605_g1_25_O2","wounded","0"
"118",27,0.00344725653806602,"Net Photosythesis",70,"2","A",20230605,646.6875302,16.5012495,"20230605_g1_27_O2","wounded","0"
"119",3,0.291222980065582,"Net Photosythesis",68,"1","H",20230605,646.6113391,18.5524545,"20230605_g1_3_O2","wounded","0"
"120",33,0.216868852577143,"Net Photosythesis",70,"2","H",20230605,647.3816565,10.0424265,"20230605_g1_33_O2","wounded","0"
"121",38,0.107458374274936,"Net Photosythesis",69,"1","A",20230605,647.2523945,9.561771,"20230605_g1_38_O2","wounded","0"
"122",4,0.0476116247371235,"Net Photosythesis",68,"2","A",20230605,646.0585602,22.0411515,"20230605_g1_4_O2","wounded","0"
"123",40,0.187881047397062,"Net Photosythesis",69,"0","H",20230605,645.7023016,26.901793,"20230605_g1_40_O2","no wound","0"
"124",41,0.23151341604444,"Net Photosythesis",69,"0","A",20230605,646.6255264,19.7038925,"20230605_g1_41_O2","no wound","0"
"125",48,0.236357069108873,"Net Photosythesis",69,"1","H",20230605,647.0847743,11.2200835,"20230605_g1_48_O2","wounded","0"
"126",51,0.299480846122135,"Net Photosythesis",69,"0","H",20230605,647.4588985,8.4441665,"20230605_g1_51_O2","no wound","0"
"127",53,0.106263168338952,"Net Photosythesis",69,"0","A",20230605,647.481493,8.235592,"20230605_g1_53_O2","no wound","0"
"128",56,0.18468415212833,"Net Photosythesis",65,"1","H",20230605,647.1567617,14.5612005,"20230605_g1_56_O2","wounded","0"
"129",58,0.231963083462788,"Net Photosythesis",65,"0","H",20230605,647.7652389,9.7158665,"20230605_g1_58_O2","no wound","0"
"130",6,0.158735000284134,"Net Photosythesis",68,"1","A",20230605,646.7153793,17.9765,"20230605_g1_6_O2","wounded","0"
"131",60,0.116925779047334,"Net Photosythesis",65,"0","H",20230605,647.1861872,18.8185695,"20230605_g1_60_O2","no wound","0"
"132",62,0.197300803623252,"Net Photosythesis",65,"2","A",20230605,647.5587349,8.441105,"20230605_g1_62_O2","wounded","0"
"133",64,0.0732629093986736,"Net Photosythesis",65,"0","A",20230605,647.6228405,7.920336,"20230605_g1_64_O2","no wound","0"
"134",66,0.0496267612252308,"Net Photosythesis",65,"2","H",20230605,646.8294031,23.819726,"20230605_g1_66_O2","wounded","0"
"135",7,0.102262959297881,"Net Photosythesis",68,"2","H",20230605,645.8751764,24.701438,"20230605_g1_7_O2","wounded","0"
"136",72,0.0331682718957362,"Net Photosythesis",65,"1","H",20230605,647.2865491,13.6717955,"20230605_g1_72_O2","wounded","0"
"137",75,0.23917214232951,"Net Photosythesis",67,"1","A",20230605,646.6271028,20.1866675,"20230605_g1_75_O2","wounded","0"
"138",76,0.255869641987631,"Net Photosythesis",67,"2","H",20230605,646.6701901,13.954945,"20230605_g1_76_O2","wounded","0"
"139",79,0.260346479168064,"Net Photosythesis",67,"2","H",20230605,647.2466145,15.9606985,"20230605_g1_79_O2","wounded","0"
"140",81,0.135787881361193,"Net Photosythesis",67,"0","H",20230605,646.8146903,10.2396185,"20230605_g1_81_O2","no wound","0"
"141",83,0.314836688819465,"Net Photosythesis",67,"0","A",20230605,647.1042162,11.238845,"20230605_g1_83_O2","no wound","0"
"142",91,0.0763866840900005,"Net Photosythesis",66,"1","A",20230605,646.6791229,14.1465635,"20230605_g1_91_O2","wounded","0"
"143",93,0.0821868468687461,"Net Photosythesis",66,"2","H",20230605,646.7117011,18.8337985,"20230605_g1_93_O2","wounded","0"
"144",96,0.179371248893059,"Net Photosythesis",66,"1","H",20230605,646.5987282,16.3761205,"20230605_g1_96_O2","wounded","0"
"145",1,0.0241822723847206,"Net Photosythesis",68,"0","A",20230606,646.0851762,22.4680345,"20230606_g2_1_O2","no wound","0"
"146",10,0.298590573330373,"Net Photosythesis",68,"1","H",20230606,646.7345869,19.3291335,"20230606_g2_10_O2","wounded","0"
"147",100,0.163411671741397,"Net Photosythesis",66,"1","H",20230606,647.207744,13.6195145,"20230606_g2_100_O2","wounded","0"
"149",13,0.111826525993822,"Net Photosythesis",68,"2","H",20230606,647.3110831,11.47984,"20230606_g2_13_O2","wounded","0"
"150",14,0.239226457619231,"Net Photosythesis",68,"2","H",20230606,646.6821305,12.110666,"20230606_g2_14_O2","wounded","0"
"151",16,0.222711793425365,"Net Photosythesis",68,"2","A",20230606,646.2724457,25.3558925,"20230606_g2_16_O2","wounded","0"
"153",19,0.0518972012153995,"Net Photosythesis",70,"0","A",20230606,647.4180943,9.6147585,"20230606_g2_19_O2","no wound","0"
"154",22,0.0567045346799549,"Net Photosythesis",70,"1","A",20230606,647.1941053,10.36043,"20230606_g2_22_O2","wounded","0"
"155",26,0.0986389368703359,"Net Photosythesis",70,"1","A",20230606,647.3079357,8.60668976,"20230606_g2_26_O2","wounded","0"
"156",28,0.224401067094351,"Net Photosythesis",70,"0","H",20230606,647.0755537,11.339482,"20230606_g2_28_O2","no wound","0"
"157",30,0.1062160400077,"Net Photosythesis",70,"1","H",20230606,646.6459355,12.4358915,"20230606_g2_30_O2","wounded","0"
"158",32,0.0372350541881028,"Net Photosythesis",70,"0","H",20230606,646.8662526,17.049415,"20230606_g2_32_O2","no wound","0"
"159",35,0.14405782729337,"Net Photosythesis",70,"1","H",20230606,647.660443,7.872922,"20230606_g2_35_O2","wounded","0"
"161",42,0.227316965145887,"Net Photosythesis",69,"2","A",20230606,646.7896662,14.538043,"20230606_g2_42_O2","wounded","0"
"162",43,0.313140592740379,"Net Photosythesis",69,"2","H",20230606,646.3757849,21.7254245,"20230606_g2_43_O2","wounded","0"
"163",45,0.368983014510332,"Net Photosythesis",69,"2","H",20230606,646.4759767,16.9874785,"20230606_g2_45_O2","wounded","0"
"164",47,0.201339947971902,"Net Photosythesis",69,"0","H",20230606,647.257053,13.235728,"20230606_g2_47_O2","no wound","0"
"166",52,0.226769823274204,"Net Photosythesis",69,"1","A",20230606,647.7637822,7.445882,"20230606_g2_52_O2","wounded","0"
"167",55,0.290198300751421,"Net Photosythesis",65,"2","H",20230606,647.1479436,14.2968125,"20230606_g2_55_O2","wounded","0"
"168",59,0.282153658544166,"Net Photosythesis",65,"2","A",20230606,647.37508,16.2560155,"20230606_g2_59_O2","wounded","0"
"169",65,0.198723693065575,"Net Photosythesis",65,"2","A",20230606,647.1405997,16.358458,"20230606_g2_65_O2","wounded","0"
"170",69,0.142863514188672,"Net Photosythesis",65,"1","A",20230606,647.562874,9.3852245,"20230606_g2_69_O2","wounded","0"
"172",74,0.239070764955187,"Net Photosythesis",67,"1","H",20230606,647.1143715,13.2631245,"20230606_g2_74_O2","wounded","0"
"173",77,0.323161244916148,"Net Photosythesis",67,"0","A",20230606,647.5298265,10.508481,"20230606_g2_77_O2","no wound","0"
"174",82,0.285202775997528,"Net Photosythesis",67,"2","A",20230606,647.428061,9.9410045,"20230606_g2_82_O2","wounded","0"
"175",85,0.172598596095687,"Net Photosythesis",67,"1","A",20230606,646.6433127,11.4931065,"20230606_g2_85_O2","wounded","0"
"176",87,0.147613082079493,"Net Photosythesis",67,"2","A",20230606,647.6468043,8.141706,"20230606_g2_87_O2","wounded","0"
"177",88,0.0814409711925688,"Net Photosythesis",67,"1","A",20230606,647.0844713,8.241558,"20230606_g2_88_O2","wounded","0"
"178",89,0.472925465413528,"Net Photosythesis",67,"0","H",20230606,647.1579103,10.0967485,"20230606_g2_89_O2","no wound","0"
"179",95,0.282667668946345,"Net Photosythesis",66,"0","H",20230606,646.6459355,18.211058,"20230606_g2_95_O2","no wound","0"
"180",98,0.259180442766015,"Net Photosythesis",66,"2","H",20230606,646.1816961,20.599813,"20230606_g2_98_O2","wounded","0"
"181",101,0.169154670283309,"Net Photosythesis",66,"2","A",20230607,647.508909,10.4283325,"20230607_g3_101_O2","wounded","0"
"182",106,0.264610503548103,"Net Photosythesis",66,"1","A",20230607,646.5974319,19.363752,"20230607_g3_106_O2","wounded","0"
"183",107,0.319973806452464,"Net Photosythesis",66,"0","A",20230607,647.6725343,7.4710805,"20230607_g3_107_O2","no wound","0"
"184",108,0.331958513046596,"Net Photosythesis",66,"0","A",20230607,647.2823508,14.707603,"20230607_g3_108_O2","no wound","0"
"185",12,0.171360378857722,"Net Photosythesis",68,"1","A",20230607,646.4065356,27.4179305,"20230607_g3_12_O2","wounded","0"
"186",15,0.137212872541736,"Net Photosythesis",68,"0","A",20230607,647.2582265,10.8588265,"20230607_g3_15_O2","no wound","0"
"187",20,0.239962573082093,"Net Photosythesis",70,"1","A",20230607,647.355248,9.007718,"20230607_g3_20_O2","wounded","0"
"188",24,0.118923048705179,"Net Photosythesis",70,"2","H",20230607,647.3688834,9.7893425,"20230607_g3_24_O2","wounded","0"
"189",29,0.200346052101345,"Net Photosythesis",70,"2","A",20230607,646.9325492,12.2542425,"20230607_g3_29_O2","wounded","0"
"190",31,0.199089241555376,"Net Photosythesis",70,"2","H",20230607,646.2906343,12.000295,"20230607_g3_31_O2","wounded","0"
"191",34,0.253450744300465,"Net Photosythesis",70,"0","A",20230607,647.1606807,10.827819,"20230607_g3_34_O2","no wound","0"
"192",36,0.162567687292047,"Net Photosythesis",70,"0","H",20230607,646.8135012,15.157251,"20230607_g3_36_O2","no wound","0"
"193",39,0.315907899861656,"Net Photosythesis",69,"2","H",20230607,647.206307,13.605149,"20230607_g3_39_O2","wounded","0"
"194",44,0.19664394911007,"Net Photosythesis",69,"2","A",20230607,646.8853495,18.972979,"20230607_g3_44_O2","wounded","0"
"195",46,0.420298373256915,"Net Photosythesis",69,"1","H",20230607,647.126592,10.527164,"20230607_g3_46_O2","wounded","0"
"196",49,0.197329410708123,"Net Photosythesis",69,"2","A",20230607,646.9477579,14.4341875,"20230607_g3_49_O2","wounded","0"
"197",50,0.353204722225412,"Net Photosythesis",69,"1","H",20230607,646.5712098,18.6742865,"20230607_g3_50_O2","wounded","0"
"198",54,0.270362924572479,"Net Photosythesis",69,"1","A",20230607,647.5340821,9.472281,"20230607_g3_54_O2","wounded","0"
