"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"177",89,0.50174889788809,-0.507915033831908,31.0879016393443,"H",0,"day1"
"178",94,0.411788562491236,-0.669843703120002,30.8668360655738,"H",2,"day1"
"179",96,0.383757055985553,-0.726172448727873,31.0215409836066,"H",1,"day1"
"180",99,0.349906157825136,-0.798716256131242,31.0677049180328,"H",0,"day1"
"181",1,0.359385676475834,-0.777865167977173,27.1702222222222,"A",0,"day1"
"182",102,0.358690890132808,-0.779378737761952,27.0898095238095,"A",2,"day1"
"183",105,0.314762974027155,-0.880048068840492,27.1216825396825,"A",1,"day1"
"184",107,0.31284182027639,-0.884690761137092,27.0445555555556,"A",0,"day1"
"185",21,0.219502572239573,-1.14098995436887,26.961564516129,"A",0,"day1"
"186",22,0.267138350268279,-1.0020165257574,26.7903548387097,"A",1,"day1"
"187",27,0.234442096226266,-1.09529151985045,27.1858095238095,"A",2,"day1"
"188",38,0.366818755101514,-0.761814201353042,26.9275483870968,"A",1,"day1"
"189",4,0.435879268565981,-0.62384638849557,27.1111904761905,"A",2,"day1"
"190",44,0.310136232607627,-0.891265899822031,26.8492580645161,"A",2,"day1"
"191",53,0.369899036091411,-0.755237424181257,26.8832096774194,"A",0,"day1"
"192",6,0.355393126685382,-0.786594218383872,27.1360476190476,"A",1,"day1"
"193",64,0.492408106078434,-0.523559513227631,27.0691904761905,"A",0,"day1"
"194",65,0.368156656568341,-0.758952302819034,26.9356935483871,"A",2,"day1"
"196",82,0.332759761218493,-0.837572528927189,27.0211428571429,"A",2,"day1"
"197",83,0.356362432022736,-0.78446797809222,26.9418870967742,"A",0,"day1"
"198",88,0.415650429555476,-0.66232620518351,26.875064516129,"A",1,"day1"
"199",10,0.354067826014166,-0.789508695592362,30.515779661017,"H",1,"day1"
"200",100,0.395914609274164,-0.701351525799666,30.3856617647059,"H",1,"day1"
"201",13,0.470932135379481,-0.560484928614689,30.5121525423729,"H",2,"day1"
"202",30,0.387770775870768,-0.717909705059023,30.390813559322,"H",1,"day1"
"203",31,0.27558266163807,-0.979276694486493,30.3317058823529,"H",2,"day1"
"204",36,0.296616329740866,-0.924785889410077,30.4288813559322,"H",0,"day1"
"205",39,0.385970877938023,-0.721606578815259,30.4463389830508,"H",2,"day1"
"206",40,0.416671276502701,-0.660348435513466,30.5311016949153,"H",0,"day1"
"207",48,0.458167806143913,-0.583095633953909,30.4302542372881,"H",1,"day1"
"208",61,0.414229812854203,-0.665085006729159,30.2256911764706,"H",0,"day1"
"209",66,0.488323733160993,-0.530477915989366,30.3836617647059,"H",2,"day1"
"210",72,0.51465520842413,-0.486693805099873,30.3826470588235,"H",1,"day1"
"211",79,0.394198867838546,-0.704817276327568,30.4395333333333,"H",2,"day1"
"212",8,0.46863909990974,-0.564509316899525,30.2902941176471,"H",0,"day1"
"213",80,0.587121754114593,-0.375243776676989,30.4894406779661,"H",1,"day1"
"214",86,0.444701610998396,-0.607517137008492,30.3936764705882,"H",0,"day1"
"215",93,0.296418151191613,-0.925285687484798,30.3147058823529,"H",2,"day1"
"216",95,0.38929286511122,-0.71479406262207,30.3234264705882,"H",0,"day1"
"217",103,0.34029227050829,-0.820316521431777,28.0030655737705,"A",0,"day10"
"219",106,0.232422170388309,-1.10134952030595,28.1971428571429,"A",1,"day10"
"220",15,0.305955146876733,-0.901512601156362,28.0086721311475,"A",0,"day10"
"221",19,0.249600047674574,-1.05096549883185,27.9606557377049,"A",0,"day10"
"222",25,0.247275187829046,-1.05763776483339,28.1063333333333,"A",2,"day10"
"223",26,0.291765358884974,-0.937092192681801,27.8899344262295,"A",1,"day10"
"224",41,0.371168512917529,-0.752539472057646,27.9892459016393,"A",0,"day10"
"225",49,0.332943270575441,-0.83714857440016,28.1221904761905,"A",2,"day10"
"227",52,0.365277690578117,-0.765120867599248,28.0456031746032,"A",1,"day10"
"228",57,0.363452961509281,-0.769050384543091,27.9572131147541,"A",0,"day10"
"229",59,0.414355115210638,-0.664841366454766,27.929868852459,"A",2,"day10"
"230",69,0.47214804931596,-0.558357493616937,28.0849180327869,"A",1,"day10"
"231",85,0.401109165386831,-0.690931306649242,28.1152222222222,"A",1,"day10"
"232",87,0.410375587435823,-0.672608378354427,28.0209344262295,"A",2,"day10"
"233",9,0.304123907306298,-0.906033746790989,27.9987619047619,"A",2,"day10"
"234",90,0.446407897513135,-0.604389517109045,28.0873015873016,"A",0,"day10"
"235",18,0.523048579793724,-0.473130786037759,30.3622295081967,"H",0,"day10"
"236",23,0.608529487376984,-0.344563601272183,30.4973442622951,"H",1,"day10"
"237",24,0.56176328520271,-0.412847362212884,30.5171639344262,"H",2,"day10"
"238",3,0.36193266526898,-0.772336144693441,30.7443650793651,"H",1,"day10"
"239",32,0.379808741070305,-0.734367710588458,30.4489016393443,"H",0,"day10"
"240",43,0.519102306771578,-0.479484742455852,30.5049836065574,"H",2,"day10"
"241",46,0.686995030926887,-0.239533344527632,30.4571475409836,"H",1,"day10"
"242",51,0.440088529449899,-0.616022209435333,30.5879206349206,"H",0,"day10"
"243",56,0.358263566130671,-0.780310788487379,30.7185238095238,"H",1,"day10"
"244",58,0.283436647296617,-0.958580867918684,30.6496666666667,"H",0,"day10"
"245",63,0.567484661205142,-0.404238868439717,30.4786885245902,"H",2,"day10"
