"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"271",14,0.46133415546699,-0.577438908240396,30.1875166666667,"H",2,"day10"
"273",2,0.258487576145913,-1.02586127464502,30.1786833333333,"H",1,"day10"
"274",28,0.35171214410305,-0.794710151354114,30.3007166666667,"H",0,"day10"
"275",33,0.436282383102007,-0.623094422494186,30.1349833333333,"H",2,"day10"
"276",35,0.399499445531591,-0.694148790941009,30.05985,"H",1,"day10"
"277",45,0.553170900449888,-0.425916468097573,30.09455,"H",2,"day10"
"278",47,0.563525857104588,-0.410187455201186,30.2005833333333,"H",0,"day10"
"279",50,0.26492149646713,-1.00807302670452,30.2122333333333,"H",1,"day10"
"280",55,0.549159820176813,-0.432076336543532,30.39295,"H",2,"day10"
"281",60,0.320745311253279,-0.865727589756371,30.16235,"H",0,"day10"
"282",70,0.308941916393019,-0.894182146733236,30.40925,"H",1,"day10"
"283",73,0.321545081446812,-0.863828552462776,30.2786333333333,"H",2,"day10"
"284",84,0.292369959483936,-0.935550110072813,30.4136666666667,"H",1,"day10"
"285",89,0.512154920021191,-0.490769891214122,30.3759666666667,"H",0,"day10"
"286",94,0.174536684658336,-1.29267038521924,30.6527166666667,"H",2,"day10"
"287",96,0.334310838523845,-0.83399478344642,30.1934,"H",1,"day10"
"288",99,0.391560981339007,-0.710169275190877,30.3429,"H",0,"day10"
"289",1,0.268547692198662,-0.998185153207003,28.1489,"A",0,"day10"
"290",102,0.176075462583758,-1.28708103547756,27.7400666666667,"A",2,"day10"
"291",105,0.176853861518313,-1.28426548775801,27.8061,"A",1,"day10"
"292",107,0.306731892489322,-0.899601051417079,28.0470833333333,"A",0,"day10"
"293",21,0.246186327714892,-1.06077812946675,27.8232833333333,"A",0,"day10"
"294",22,0.253780782452506,-1.03907781627691,27.7456,"A",1,"day10"
"295",27,0.229734295786452,-1.10946811312395,28.0968833333333,"A",2,"day10"
"296",38,0.228882745023299,-1.11205398984714,27.72505,"A",1,"day10"
"297",4,0.239006166019903,-1.08173698291783,28.0834166666667,"A",2,"day10"
"298",44,0.391430654108488,-0.710434439667529,27.8626333333333,"A",2,"day10"
"299",53,0.316059494319571,-0.876927013755295,27.9353,"A",0,"day10"
"300",6,0.30696613285447,-0.899025308661603,28.1241333333333,"A",1,"day10"
"301",64,0.0890527986743283,-1.66572894487046,27.9256,"A",0,"day10"
"302",65,0.403924922149313,-0.685327985996463,27.9774666666667,"A",2,"day10"
"304",82,0.410309577857535,-0.672737722016166,27.5980833333333,"A",2,"day10"
"305",83,0.249267986207295,-1.05191578265131,28.1154166666667,"A",0,"day10"
"306",88,0.303427433827007,-0.9077586492622,28.1381833333333,"A",1,"day10"
"307",10,0.388423055698428,-0.716573331270045,31.0970666666667,"H",1,"day10"
"308",100,0.317992498695563,-0.872291792322801,30.5570166666667,"H",1,"day10"
"309",13,0.265065394298565,-1.0076787789855,30.27305,"H",2,"day10"
"310",30,0.345292015293493,-0.809024997887572,30.3188666666667,"H",1,"day10"
"311",31,0.393086632418866,-0.707070395389716,31.0738166666667,"H",2,"day10"
"312",36,0.16408599576929,-1.33148048732774,31.1266833333333,"H",0,"day10"
"313",39,0.427473544383752,-0.639656567716622,30.1960666666667,"H",2,"day10"
"314",40,0.241608660921789,-1.07408946340263,31.07335,"H",0,"day10"
"315",48,0.457648210429102,-0.58402696267594,30.3046833333333,"H",1,"day10"
"316",61,0.237179975351359,-1.08713843969681,30.4483333333333,"H",0,"day10"
"317",66,0.470202934587957,-0.561762955922707,30.33945,"H",2,"day10"
"318",72,0.399094070611396,-0.694960682738643,30.9828166666667,"H",1,"day10"
"319",79,0.389713678631969,-0.713934387986889,31.0518333333333,"H",2,"day10"
"320",8,0.478711888307928,-0.546950527485776,30.4101666666667,"H",0,"day10"
"321",80,0.352223325890507,-0.793579137340576,31.1637166666667,"H",1,"day10"
"322",86,0.186642602883602,-1.24951912535544,31.2308,"H",0,"day10"
"323",93,0.323789520733079,-0.858518360369465,30.5984166666667,"H",2,"day10"
"324",95,0.423012289170333,-0.64815031773566,30.93805,"H",0,"day10"
"325",103,0.342585472675694,-0.815121674597732,27.5802,"A",0,"day19"
"327",106,0.220298517544404,-1.13850185071241,27.4052666666667,"A",1,"day19"
"328",15,0.303158659483185,-0.908425098525333,27.3343666666667,"A",0,"day19"
"329",19,0.249120889594492,-1.05233702823547,27.4536333333333,"A",0,"day19"
"330",25,0.163170255417546,-1.33495409724875,27.4746,"A",2,"day19"
"331",26,0.307632134778444,-0.897390141736183,27.5227166666667,"A",1,"day19"
"332",41,0.21950472180414,-1.14098322654405,27.5006333333333,"A",0,"day19"
"333",49,0.196931102376135,-1.21425514562215,27.5657333333333,"A",2,"day19"
"335",52,0.373502699282864,-0.747597665669268,27.4284,"A",1,"day19"
"336",57,0.393873816065744,-0.705475227488092,27.5018166666667,"A",0,"day19"
"337",59,0.159676877035662,-1.34831720149095,27.52085,"A",2,"day19"
"338",69,0.203642780520431,-1.19190333258255,27.4163833333333,"A",1,"day19"
"339",85,0.30418778149684,-0.905875703324441,27.5264166666667,"A",1,"day19"
"340",87,0.272014069320445,-0.988823604670292,27.43195,"A",2,"day19"
"341",9,0.162994711803301,-1.33562135421831,27.5820166666667,"A",2,"day19"
"342",90,0.423528176581124,-0.647164426660332,27.3706833333333,"A",0,"day19"
"343",18,0.19751374570116,-1.21229485102631,30.35645,"H",0,"day19"
"344",23,0.482227383010504,-0.540894215093215,30.2728166666667,"H",1,"day19"
"345",24,0.216460072011521,-1.15055820013801,30.1859,"H",2,"day19"
"346",3,0.362661845300978,-0.770758847457005,30.4094166666667,"H",1,"day19"
"347",32,0.37054656552809,-0.753860354549818,30.4483,"H",0,"day19"
"348",43,0.368132160075034,-0.759004629607258,30.5185166666667,"H",2,"day19"
"349",46,0.406375036526446,-0.68047770532609,30.0706,"H",1,"day19"
"350",51,0.539801640207724,-0.446597087844304,30.4152333333333,"H",0,"day19"
"351",56,0.45579037810024,-0.58736407362596,30.48605,"H",1,"day19"
"352",58,0.357107100533125,-0.782837559892577,30.51245,"H",0,"day19"
"353",63,0.245623178360165,-1.06240617728676,30.5234666666667,"H",2,"day19"
"354",7,0.376381061704638,-0.741537195220132,30.28655,"H",2,"day19"
"355",74,0.304242287595886,-0.905740859010227,30.5490833333333,"H",1,"day19"
"356",76,0.227039592651292,-1.11767403696997,30.3029666666667,"H",2,"day19"
"357",81,0.0920651212514078,-1.64992079127616,30.5507833333333,"H",0,"day19"
"358",92,0.308640729528944,-0.894918920878827,30.46585,"H",1,"day19"
"359",97,0.142036110036398,-1.41866834893047,30.3099,"H",0,"day19"
"360",98,0.40323104519349,-0.686705879963445,30.3644833333333,"H",2,"day19"
"361",101,0.261542378969,-1.01737601335806,28.4492666666667,"A",2,"day19"
"362",108,0.262533581045096,-1.0146381716122,28.4119666666667,"A",0,"day19"
"364",12,0.228516256150815,-1.11316895628243,28.1769,"A",1,"day19"
"365",16,0.19556982445538,-1.21885017747548,28.2158,"A",2,"day19"
"366",20,0.167941222041707,-1.31698764326549,28.18715,"A",1,"day19"
"367",29,0.252530439675181,-1.04261830676962,28.27,"A",2,"day19"
"368",34,0.202032667883621,-1.19722009565734,28.51745,"A",0,"day19"
"370",42,0.20969391164413,-1.17217085107859,28.23325,"A",2,"day19"
"371",54,0.315804798559218,-0.877539363078357,28.43265,"A",1,"day19"
"372",62,0.207705668043473,-1.17861157614303,28.4308333333333,"A",2,"day19"
"373",67,0.209357876239824,-1.17325649671887,28.24195,"A",1,"day19"
"374",68,0.533410060835477,-0.45663726114603,28.1018166666667,"A",0,"day19"
"375",75,0.236554467268352,-1.08899527889979,28.3151,"A",1,"day19"
"376",77,0.268471206843403,-0.998392706515699,28.4299666666667,"A",0,"day19"
"377",78,0.226588666026723,-1.11905380196672,28.3041166666667,"A",2,"day19"
"378",91,0.405787898044231,-0.681637871398209,28.2454333333333,"A",1,"day19"
"379",14,0.194458125020215,-1.22261847608462,30.3443,"H",2,"day19"
"380",2,0.420622256180563,-0.652730536316332,30.2711,"H",1,"day19"
"381",28,0.483289111983658,-0.539072311634275,30.6790833333333,"H",0,"day19"
"382",33,0.198296083586535,-1.20966871665746,30.33135,"H",2,"day19"
"383",35,0.29761577071913,-0.9222691401998,30.2915,"H",1,"day19"
"384",45,0.45626014265137,-0.586519211687934,30.7093333333333,"H",2,"day19"
"385",47,0.352341254654182,-0.793318395837138,30.6653,"H",0,"day19"
"386",50,0.259912763153374,-1.02189360147129,30.27915,"H",1,"day19"
"387",55,0.46554250939946,-0.569969814899356,30.7295833333333,"H",2,"day19"
"388",60,0.400847688256262,-0.691453239575902,30.3823,"H",0,"day19"
"389",70,0.405357331687349,-0.682489512429082,30.3652333333333,"H",1,"day19"
"390",73,0.490958549844491,-0.526009399662576,30.8148666666667,"H",2,"day19"
"391",84,0.204594256279578,-1.18877469529907,30.85485,"H",1,"day19"
"392",89,0.309750646556242,-0.892206483430847,30.2640833333333,"H",0,"day19"
"393",94,0.308039081905095,-0.896392320182372,30.72305,"H",2,"day19"
"394",96,0.172975531988652,-1.29837311422906,30.6096833333333,"H",1,"day19"
"395",99,0.333653512602138,-0.835509421798838,30.3174166666667,"H",0,"day19"
"396",1,0.20911615354402,-1.17403817128068,27.8197666666667,"A",0,"day19"
"397",102,0.158741607160792,-1.35192537102218,27.9303,"A",2,"day19"
